"tarih","istanbul_turkiye","issizlik_odenegi_basvuru","issizlik_odenegi_hakeden"
2016-04-01,İstanbul,30696,17489
2016-04-01,Türkiye,101520,54985
2016-05-01,İstanbul,30097,17258
2016-05-01,Türkiye,106071,56369
2016-06-01,Türkiye,136359,70740
2016-06-01,İstanbul,38483,21614
2016-07-01,Türkiye,139871,72483
2016-07-01,İstanbul,34304,19806
2016-08-01,İstanbul,41824,23854
2016-08-01,Türkiye,140766,76582
2016-09-01,İstanbul,31830,17711
2016-09-01,Türkiye,107685,55299
2016-10-01,Türkiye,122182,62748
2016-10-01,İstanbul,35346,19986
2016-11-01,İstanbul,34296,19050
2016-11-01,Türkiye,136963,69823
2016-12-01,Türkiye,140317,67973
2016-12-01,İstanbul,33261,17960
2017-01-01,Türkiye,158739,85120
2017-01-01,İstanbul,41256,24570
2017-02-01,Türkiye,109375,57193
2017-02-01,İstanbul,33018,18690
2017-03-01,Türkiye,110529,57610
2017-03-01,İstanbul,33284,18698
2017-04-01,Türkiye,88551,47699
2017-04-01,İstanbul,28268,16204
2017-05-01,Türkiye,97919,52651
2017-05-01,İstanbul,30928,17678
2017-06-01,İstanbul,33924,18723
2017-06-01,Türkiye,120517,59794
2017-07-01,Türkiye,106003,55529
2017-07-01,İstanbul,30582,17180
2017-08-01,Türkiye,89525,49033
2017-08-01,İstanbul,27551,15962
2017-09-01,İstanbul,26472,14996
2017-09-01,Türkiye,94905,48882
2017-10-01,İstanbul,30576,17265
2017-10-01,Türkiye,112637,57805
2017-11-01,Türkiye,116713,59491
2017-11-01,İstanbul,28077,15850
2017-12-01,İstanbul,26433,14600
2017-12-01,Türkiye,117683,57973
2018-01-01,Türkiye,145976,74465
2018-01-01,İstanbul,34870,20384
2018-02-01,Türkiye,104865,54191
2018-02-01,İstanbul,28463,16218
2018-03-01,Türkiye,101839,54367
2018-03-01,İstanbul,29379,16937
2018-04-01,Türkiye,98422,55595
2018-04-01,İstanbul,28729,17245
2018-05-01,Türkiye,103867,55899
2018-05-01,İstanbul,31534,18468
2018-06-01,İstanbul,33541,18555
2018-06-01,Türkiye,114081,58537
2018-07-01,Türkiye,128308,66552
2018-07-01,İstanbul,35722,19970
2018-08-01,İstanbul,29863,16786
2018-08-01,Türkiye,106401,55799
2018-09-01,Türkiye,140164,73044
2018-09-01,İstanbul,39509,22456
2018-10-01,İstanbul,45824,26626
2018-10-01,Türkiye,168220,89488
2018-11-01,Türkiye,208011,97412
2018-11-01,İstanbul,43848,23887
2018-12-01,Türkiye,211843,98286
2018-12-01,İstanbul,45497,23847
2019-01-01,Türkiye,257355,129795
2019-01-01,İstanbul,60711,34440
2019-02-01,İstanbul,47824,26890
2019-02-01,Türkiye,172124,90014
2019-03-01,Türkiye,144966,78126
2019-03-01,İstanbul,41901,24058
2019-04-01,İstanbul,42025,24749
2019-04-01,Türkiye,142090,76363
2019-05-01,Türkiye,157935,84779
2019-05-01,İstanbul,45603,26112
2019-06-01,İstanbul,38153,20478
2019-06-01,Türkiye,144343,71980
2019-07-01,İstanbul,51136,27999
2019-07-01,Türkiye,200987,101001
2019-08-01,Türkiye,125259,65090
2019-08-01,İstanbul,32925,18567
2019-09-01,Türkiye,147498,78753
2019-09-01,İstanbul,40866,23386
2019-10-01,Türkiye,150938,78337
2019-10-01,İstanbul,38441,21758
2019-11-01,Türkiye,154963,79035
2019-11-01,İstanbul,34535,19381
2019-12-01,Türkiye,156583,79783
2019-12-01,İstanbul,35521,19853
2020-01-01,İstanbul,41299,24753
2020-01-01,Türkiye,163056,89822
2020-02-01,Türkiye,124957,74038
2020-02-01,İstanbul,39567,24541
2020-03-01,İstanbul,58672,22962
2020-03-01,Türkiye,214183,75875
2020-04-01,İstanbul,89226,23776
2020-04-01,Türkiye,308968,69347
2020-05-01,İstanbul,30384,2950
2020-05-01,Türkiye,108814,10018
2020-06-01,Türkiye,50139,20218
2020-06-01,İstanbul,12563,5240
2020-07-01,Türkiye,96186,27656
2020-07-01,İstanbul,22225,7414
2020-08-01,Türkiye,72422,25003
2020-08-01,İstanbul,18686,8016
2020-09-01,Türkiye,83190,29674
2020-09-01,İstanbul,20790,8796
2020-10-01,İstanbul,17741,7559
2020-10-01,Türkiye,76460,26867
2020-11-01,İstanbul,19161,7551
2020-11-01,Türkiye,94424,28548
2020-12-01,İstanbul,23852,8342
2020-12-01,Türkiye,118057,32472
2021-01-01,Türkiye,114441,34860
2021-01-01,İstanbul,22897,8919
